Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2017-01-03,66.988,68.085,66.111,67.064,568000,0.0,0.0
2017-01-04,67.343,68.169,66.98,68.169,670100,0.0,0.0
2017-01-05,67.807,69.063,67.528,68.11,751100,0.0,0.0
2017-01-06,68.178,68.498,67.562,68.346,530800,0.0,0.0
2017-01-09,68.102,68.659,67.579,67.95,579200,0.0,0.0
2017-01-10,68.346,69.595,67.925,68.599,712600,0.0,0.0
2017-01-11,68.667,70.076,68.667,70.0,754300,0.0,0.0
2017-01-12,69.806,70.371,69.013,70.253,655800,0.0,0.0
2017-01-13,70.27,70.86,69.536,69.603,397500,0.0,0.0
2017-01-17,69.122,69.165,68.33,68.726,427000,0.0,0.0
2017-01-18,68.852,69.696,68.54,69.637,962500,0.0,0.0
2017-01-19,69.856,70.244,68.903,69.342,864700,0.0,0.0
2017-01-20,69.688,70.185,69.063,69.772,450300,0.0,0.0
2017-01-23,69.569,70.894,69.451,70.742,851800,0.0,0.0
2017-01-24,71.164,72.269,70.927,72.252,798800,0.0,0.0
2017-01-25,72.294,73.112,71.94,73.011,795000,0.0,0.0
2017-01-26,73.061,73.905,72.606,73.213,730800,0.0,0.0
2017-01-27,72.37,72.64,71.197,71.779,992500,0.0,0.0
2017-01-30,71.332,71.383,70.118,70.953,752300,0.0,0.0
2017-01-31,71.037,71.509,70.556,71.189,1720200,0.0,0.0
2017-02-01,71.046,72.834,70.421,72.53,1487900,0.0,0.0
2017-02-02,73.154,75.001,73.146,73.972,1836900,0.0,0.0
2017-02-03,74.225,74.436,72.969,73.036,1161100,0.0,0.0
2017-02-06,72.808,74.428,72.606,74.268,2041300,0.0,0.0
2017-02-07,73.593,74.403,73.593,74.065,1617600,0.0,0.0
2017-02-08,73.972,74.284,73.323,73.939,798000,0.0,0.0
2017-02-09,74.09,74.529,73.643,74.107,755300,0.0,0.0
2017-02-10,74.605,74.799,73.947,74.445,886300,0.0,0.0
2017-02-13,74.546,74.892,74.015,74.58,944400,0.0,0.0
2017-02-14,74.006,74.63,73.863,74.546,1026200,0.0,0.0
2017-02-15,74.74,75.119,74.082,75.103,988100,0.0,0.0
2017-02-16,75.069,76.17,75.069,75.399,819800,0.36,0.0
2017-02-17,75.374,75.992,74.95,75.916,1230400,0.0,0.0
2017-02-21,76.068,76.796,75.839,76.246,793300,0.0,0.0
2017-02-22,75.755,76.661,75.687,76.475,720200,0.0,0.0
2017-02-23,76.534,77.211,75.458,75.941,620400,0.0,0.0
2017-02-24,75.17,75.865,74.772,75.196,898300,0.0,0.0
2017-02-27,75.306,75.374,74.798,75.06,755900,0.0,0.0
2017-02-28,75.069,75.746,74.747,75.518,872400,0.0,0.0
2017-03-01,76.348,77.449,76.305,76.458,931200,0.0,0.0
2017-03-02,76.288,76.644,74.95,75.086,852100,0.0,0.0
2017-03-03,75.009,76.356,75.009,76.212,870600,0.0,0.0
2017-03-06,75.763,76.568,75.712,76.365,678500,0.0,0.0
2017-03-07,76.237,76.839,76.153,76.415,785300,0.0,0.0
2017-03-08,76.364,76.847,75.314,75.357,975700,0.0,0.0
2017-03-09,75.289,75.992,75.12,75.424,653900,0.0,0.0
2017-03-10,75.966,77.279,75.924,76.763,1106800,0.0,0.0
2017-03-13,76.686,77.609,76.559,77.567,816200,0.0,0.0
2017-03-14,76.449,77.533,76.449,76.864,656300,0.0,0.0
2017-03-15,77.508,78.549,77.432,78.304,723100,0.0,0.0
2017-03-16,78.804,78.804,77.135,77.491,560900,0.0,0.0
2017-03-17,77.923,78.109,77.313,77.863,1031300,0.0,0.0
2017-03-20,77.863,77.957,77.076,77.728,507000,0.0,0.0
2017-03-21,77.982,78.151,75.568,75.763,683300,0.0,0.0
2017-03-22,75.831,76.348,75.103,76.339,1251500,0.0,0.0
2017-03-23,76.11,77.008,74.976,76.475,964800,0.0,0.0
