Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2017-01-03,210.457,212.481,206.699,210.306,752900,0.0,0.0
2017-01-04,210.221,214.402,209.816,213.159,664900,0.0,0.0
2017-01-05,212.962,216.257,211.982,213.31,649800,0.0,0.0
2017-01-06,212.896,213.046,206.728,207.02,818400,0.0,0.0
2017-01-09,207.057,208.677,205.758,206.568,643700,0.0,0.0
2017-01-10,207.236,209.496,206.454,207.698,587700,0.0,0.0
2017-01-11,208.715,209.28,206.972,209.006,415700,0.0,0.0
2017-01-12,209.185,209.524,204.157,207.095,611700,0.0,0.0
2017-01-13,206.812,208.686,206.276,207.801,478800,0.0,0.0
2017-01-17,208.065,208.065,204.449,207.038,635400,0.0,0.0
2017-01-18,207.311,212.717,206.605,212.218,622900,0.0,0.0
2017-01-19,212.754,214.063,211.897,212.594,727600,0.0,0.0
2017-01-20,213.875,215.787,213.272,214.468,612700,0.0,0.0
2017-01-23,215.269,216.455,212.359,214.101,607300,0.0,0.0
2017-01-24,215.834,221.832,215.071,220.825,727500,0.0,0.0
2017-01-25,223.716,229.102,223.706,227.887,1432800,0.0,0.0
2017-01-26,227.906,229.752,225.844,227.529,795300,0.0,0.0
2017-01-27,228.424,228.584,224.808,225.797,420100,0.0,0.0
2017-01-30,224.12,224.12,219.676,221.587,606800,0.0,0.0
2017-01-31,221.192,222.887,213.517,216.21,1151100,0.0,0.0
2017-02-01,217.802,218.687,215.222,217.058,649300,0.0,0.0
2017-02-02,216.097,216.935,213.818,215.259,602900,0.0,0.0
2017-02-03,216.455,219.723,215.278,217.444,491100,0.0,0.0
2017-02-06,217.397,218.056,216.295,217.133,524200,0.0,0.0
2017-02-07,210.814,215.645,208.423,213.404,1086700,0.0,0.0
2017-02-08,213.404,215.316,210.306,213.056,500400,0.0,0.0
2017-02-09,213.762,214.073,211.737,212.18,520100,0.0,0.0
2017-02-10,213.658,217.679,213.244,216.888,519600,0.0,0.0
2017-02-13,219.092,220.759,216.615,217.896,664300,0.0,0.0
2017-02-14,213.404,215.749,208.451,213.206,1557100,0.0,0.0
2017-02-15,211.549,213.093,207.133,209.054,1739600,0.0,0.0
2017-02-16,209.006,209.732,207.17,208.611,772600,0.0,0.0
2017-02-17,207.942,208.112,202.707,204.863,835100,0.0,0.0
2017-02-21,205.522,208.762,205.334,207.151,727100,0.0,0.0
2017-02-22,207.067,208.46,205.965,206.172,749100,0.0,0.0
2017-02-23,206.888,207.406,194.307,196.51,1913500,0.0,0.0
2017-02-24,195.004,198.996,194.081,197.8,985800,0.0,0.0
2017-02-27,198.215,206.888,196.765,202.707,825400,0.0,0.0
2017-02-28,203.074,206.539,201.445,203.356,1167800,0.0,0.0
2017-03-01,210.014,211.86,207.01,209.308,1166900,0.0,0.0
2017-03-02,209.364,209.421,205.298,206.638,710900,0.42,0.0
2017-03-03,206.534,209.308,203.741,205.383,675900,0.0,0.0
2017-03-06,203.723,205.392,201.505,202.543,753900,0.0,0.0
2017-03-07,202.392,202.807,197.184,198.062,839200,0.0,0.0
2017-03-08,197.741,200.279,197.741,198.93,577100,0.0,0.0
2017-03-09,198.515,200.854,194.222,196.392,610300,0.0,0.0
2017-03-10,197.533,201.09,196.797,200.779,707900,0.0,0.0
2017-03-13,200.354,203.005,199.779,202.779,567400,0.0,0.0
2017-03-14,200.873,201.43,197.477,199.703,500400,0.0,0.0
2017-03-15,200.439,203.053,197.779,201.92,553500,0.0,0.0
2017-03-16,202.392,202.496,197.364,198.477,658100,0.0,0.0
2017-03-17,199.071,201.081,197.75,199.968,572300,0.0,0.0
2017-03-20,200.043,200.043,197.656,199.175,365000,0.0,0.0
2017-03-21,200.09,200.581,195.854,197.269,526300,0.0,0.0
2017-03-22,196.713,201.043,195.297,200.524,715300,0.0,0.0
2017-03-23,200.373,202.534,198.307,201.42,672200,0.0,0.0
2017-03-24,201.1,201.185,194.816,195.524,812100,0.0,0.0
2017-03-27,192.316,196.448,190.363,195.335,718900,0.0,0.0
2017-03-28,194.826,200.043,194.826,198.052,767500,0.0,0.0
2017-03-29,199.213,202.59,198.128,202.156,591600,0.0,0.0
2017-03-30,201.581,204.534,199.015,199.6,705900,0.0,0.0
2017-03-31,201.902,206.685,201.034,205.911,927600,0.0,0.0
2017-04-03,205.864,206.27,200.76,202.307,634300,0.0,0.0
2017-04-04,202.185,203.911,200.628,203.798,450300,0.0,0.0
2017-04-05,204.166,206.6,202.505,202.826,833200,0.0,0.0
2017-04-06,202.694,206.015,201.996,205.874,848400,0.0,0.0
2017-04-07,206.336,210.912,206.336,208.893,873400,0.0,0.0
2017-04-10,209.015,209.478,207.138,207.855,398000,0.0,0.0
2017-04-11,207.411,207.761,201.968,207.176,533800,0.0,0.0
2017-04-12,206.43,206.43,199.779,200.76,786100,0.0,0.0
2017-04-13,200.307,201.251,198.213,198.232,496000,0.0,0.0
2017-04-17,198.666,200.817,198.279,200.666,456600,0.0,0.0
2017-04-18,199.137,201.118,197.59,198.816,310100,0.0,0.0
2017-04-19,199.779,201.779,198.816,199.222,484200,0.0,0.0
2017-04-20,200.609,206.468,199.986,205.006,474500,0.0,0.0
2017-04-21,205.279,207.553,204.213,206.515,560900,0.0,0.0
2017-04-24,208.959,210.931,206.534,210.213,553700,0.0,0.0
2017-04-25,211.374,212.11,209.515,210.865,655300,0.0,0.0
2017-04-26,210.912,211.157,208.317,208.647,487800,0.0,0.0
2017-04-27,208.506,211.327,206.496,210.723,529000,0.0,0.0
2017-04-28,210.534,211.232,207.364,207.742,542300,0.0,0.0
2017-05-01,208.987,213.667,207.478,210.27,989000,0.0,0.0
2017-05-02,219.054,229.63,217.94,226.29,1761200,0.0,0.0
2017-05-03,224.922,230.507,223.705,225.46,744200,0.0,0.0
2017-05-04,225.715,228.753,223.554,223.601,924200,0.0,0.0
2017-05-05,224.95,225.035,222.186,224.12,456300,0.0,0.0
2017-05-08,223.469,223.469,220.063,221.044,389000,0.0,0.0
2017-05-09,221.394,223.601,219.686,220.62,412600,0.0,0.0
2017-05-10,222.412,225.611,220.573,221.035,788600,0.0,0.0
2017-05-11,220.403,221.205,215.733,220.544,581500,0.0,0.0
2017-05-12,219.129,220.082,216.94,217.507,405900,0.0,0.0
2017-05-15,218.261,222.111,217.535,221.894,502700,0.0,0.0
2017-05-16,221.894,222.309,218.912,219.856,430900,0.0,0.0
2017-05-17,219.856,219.856,211.204,212.063,983600,0.0,0.0
2017-05-18,210.874,217.073,208.912,216.318,773400,0.0,0.0
2017-05-19,217.356,219.035,215.167,215.478,472500,0.0,0.0
2017-05-22,216.337,219.271,216.054,218.667,440600,0.0,0.0
2017-05-23,218.931,220.478,216.733,217.997,398000,0.0,0.0
2017-05-24,217.808,219.054,212.544,214.553,500900,0.0,0.0
2017-05-25,215.384,218.044,215.082,216.554,382200,0.0,0.0
2017-05-26,215.761,216.346,213.931,214.884,336100,0.0,0.0
2017-05-30,213.891,215.999,212.36,214.298,440400,0.42,0.0
2017-05-31,214.326,214.411,210.791,211.821,623700,0.0,0.0
2017-06-01,211.887,216.424,210.167,215.47,548100,0.0,0.0
2017-06-02,215.574,217.067,213.712,214.137,367100,0.0,0.0
2017-06-05,213.929,215.744,213.636,215.205,342800,0.0,0.0
2017-06-06,214.6,216.68,213.003,213.305,415800,0.0,0.0
2017-06-07,213.532,217.379,213.532,215.063,446100,0.0,0.0
2017-06-08,215.063,222.2,213.674,219.392,630500,0.0,0.0
2017-06-09,220.338,223.031,219.402,221.954,478300,0.0,0.0
2017-06-12,220.82,221.84,217.039,219.392,360800,0.0,0.0
2017-06-13,219.903,223.476,219.752,222.672,355000,0.0,0.0
2017-06-14,222.672,223.873,216.585,218.267,397100,0.0,0.0
2017-06-15,215.101,217.247,214.534,216.85,243000,0.0,0.0
2017-06-16,217.256,219.978,215.526,217.71,639200,0.0,0.0
2017-06-19,217.606,219.657,216.973,219.033,369700,0.0,0.0
2017-06-20,218.598,219.014,214.884,216.585,401900,0.0,0.0
2017-06-21,217.398,217.596,214.222,214.647,358500,0.0,0.0
2017-06-22,214.61,216.623,212.766,213.986,511100,0.0,0.0
2017-06-23,214.222,216.292,213.485,215.763,708000,0.0,0.0
2017-06-26,217.88,222.304,217.71,219.506,1053100,0.0,0.0
2017-06-27,219.071,219.071,212.842,212.946,566700,0.0,0.0
2017-06-28,214.742,216.179,213.617,214.846,598700,0.0,0.0
2017-06-29,214.099,214.099,208.418,209.25,717200,0.0,0.0
2017-06-30,209.874,211.793,207.001,210.385,768400,0.0,0.0
2017-07-03,211.405,212.407,208.693,211.122,265200,0.0,0.0
2017-07-05,210.989,214.638,209.666,214.411,677200,0.0,0.0
2017-07-06,213.182,214.836,212.284,213.617,582000,0.0,0.0
2017-07-07,213.371,216.084,211.906,215.413,494100,0.0,0.0
2017-07-10,214.704,214.855,212.417,212.426,382800,0.0,0.0
2017-07-11,212.625,212.625,207.19,208.626,490000,0.0,0.0
2017-07-12,210.592,213.258,209.42,212.757,423300,0.0,0.0
2017-07-13,213.409,216.453,211.84,212.048,534100,0.0,0.0
2017-07-14,212.681,213.891,210.649,211.037,326600,0.0,0.0
