Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2017-01-03,35.17,35.6,34.753,35.539,1812500,0.0,0.0
2017-01-04,35.721,35.781,35.358,35.448,1721300,0.0,0.0
2017-01-05,35.594,35.763,35.255,35.588,1342700,0.0,0.0
2017-01-06,35.715,35.751,34.898,35.025,2212500,0.0,0.0
2017-01-09,34.862,35.17,34.577,34.771,2111100,0.0,0.0
2017-01-10,34.571,34.571,33.894,33.918,2595000,0.0,0.0
2017-01-11,34.099,34.662,34.015,34.638,1540900,0.0,0.0
2017-01-12,34.22,34.638,33.954,34.22,1929900,0.0,0.0
2017-01-13,34.105,34.426,34.009,34.063,1023700,0.0,0.0
2017-01-17,34.347,34.444,34.009,34.063,1699400,0.0,0.0
2017-01-18,33.839,34.438,33.573,34.214,1488800,0.0,0.0
2017-01-19,34.202,34.329,33.743,33.851,999800,0.0,0.0
2017-01-20,34.281,34.366,34.033,34.233,1398500,0.0,0.0
2017-01-23,34.063,34.335,33.773,33.809,1245500,0.0,0.0
2017-01-24,33.96,34.142,33.501,34.045,1337200,0.0,0.0
2017-01-25,32.956,33.791,32.569,33.603,2727700,0.0,0.0
2017-01-26,33.631,34.175,33.435,33.6,2064900,0.615,0.0
2017-01-27,33.435,33.668,33.184,33.588,1444900,0.0,0.0
2017-01-30,33.411,33.484,32.732,32.891,1336900,0.0,0.0
2017-01-31,33.142,33.796,32.817,33.71,1999300,0.0,0.0
2017-02-01,35.643,36.273,32.334,33.031,20726000,0.0,0.0
2017-02-02,33.148,34.261,32.866,33.986,5375400,0.0,0.0
2017-02-03,34.181,34.744,34.065,34.53,3973900,0.0,0.0
2017-02-06,34.634,34.665,33.698,33.833,3365500,0.0,0.0
2017-02-07,33.747,34.016,33.013,33.258,2804600,0.0,0.0
2017-02-08,32.946,33.447,32.573,33.276,2393900,0.0,0.0
2017-02-09,33.276,34.047,33.276,33.717,2528400,0.0,0.0
2017-02-10,34.09,34.09,33.478,33.833,2728000,0.0,0.0
2017-02-13,33.662,33.796,33.362,33.655,1971400,0.0,0.0
2017-02-14,33.723,33.894,33.135,33.613,2476100,0.0,0.0
2017-02-15,33.441,33.655,33.252,33.331,1822900,0.0,0.0
2017-02-16,33.49,33.698,32.995,33.05,1918100,0.0,0.0
2017-02-17,32.927,33.013,32.616,32.811,1889400,0.0,0.0
2017-02-21,33.074,33.288,32.781,33.166,2163100,0.0,0.0
2017-02-22,32.885,33.087,32.701,32.738,2063200,0.0,0.0
2017-02-23,33.282,33.606,32.891,33.423,2931500,0.0,0.0
2017-02-24,33.294,33.362,32.297,32.518,2479800,0.0,0.0
2017-02-27,32.585,32.787,32.242,32.634,3491500,0.0,0.0
2017-02-28,32.799,33.961,32.573,33.062,6183800,0.0,0.0
2017-03-01,33.294,34.145,33.246,33.882,2965400,0.0,0.0
2017-03-02,33.692,33.955,33.46,33.796,3650700,0.0,0.0
2017-03-03,33.796,34.659,33.68,34.512,3046000,0.0,0.0
2017-03-06,34.365,34.72,34.151,34.628,3468700,0.0,0.0
2017-03-07,34.763,34.836,34.396,34.61,3327700,0.0,0.0
2017-03-08,34.622,34.72,33.466,33.502,2386500,0.0,0.0
2017-03-09,33.411,33.423,32.658,33.343,3147100,0.0,0.0
2017-03-10,33.643,33.68,33.087,33.233,2285800,0.0,0.0
2017-03-13,33.184,33.319,32.879,33.019,3041000,0.0,0.0
